gene_id	description
LOC107964337	uncharacterized LOC107964337
LOC107964338	transient receptor potential-gamma protein-like
LOC107964339	short transient receptor potential channel 2 homolog
LOC107964340	uncharacterized LOC107964340
LOC107964341	uncharacterized LOC107964341
LOC107964342	uncharacterized LOC107964342
LOC107964343	serine/arginine repetitive matrix protein 1-like
LOC107964344	uncharacterized LOC107964344
LOC107964345	uncharacterized LOC107964345
LOC107964346	uncharacterized LOC107964346
LOC107964347	uncharacterized LOC107964347
LOC107964348	uncharacterized LOC107964348
LOC107964349	leucine-rich repeat protein soc-2 homolog
LOC107964350	UDP-N-acetylglucosamine transferase subunit ALG14 homolog
LOC107964351	60S ribosomal protein L7
LOC107964352	uncharacterized LOC107964352
LOC107964353	uncharacterized LOC107964353
LOC107964354	uncharacterized LOC107964354
LOC107964355	cell wall integrity and stress response component 4-like
LOC107964356	ATP-dependent RNA helicase DDX18
LOC107964357	uncharacterized LOC107964357
LOC107964358	uncharacterized LOC107964358
LOC107964359	uncharacterized LOC107964359
LOC107964360	uncharacterized LOC107964360
LOC107964361	uncharacterized LOC107964361
LOC107964362	uncharacterized LOC107964362
LOC107964363	uncharacterized LOC107964363
LOC107964364	uncharacterized LOC107964364
LOC107964398	"ADP,ATP carrier protein ER-ANT1-like"
LOC107964399	sodium/calcium exchanger 1-like
LOC107964400	integrin alpha-4-like
LOC107964401	uncharacterized LOC107964401
LOC107964402	uncharacterized LOC107964402
LOC107964403	uncharacterized LOC107964403
LOC107964404	protein phosphatase 1B-like
LOC107964405	uncharacterized LOC107964405
LOC107964406	uncharacterized LOC107964406
LOC107964407	uncharacterized LOC107964407
LOC107964408	uncharacterized LOC107964408
LOC107964409	uncharacterized LOC107964409
LOC107964410	uncharacterized LOC107964410
LOC107964411	uncharacterized LOC107964411
LOC107964412	N-glycosylase/DNA lyase
LOC107964413	uncharacterized LOC107964413
LOC107964414	uncharacterized LOC107964414
LOC107964415	uncharacterized LOC107964415
LOC107964416	uncharacterized LOC107964416
LOC107964417	uncharacterized LOC107964417
LOC107964418	uncharacterized LOC107964418
LOC107964419	X-linked retinitis pigmentosa GTPase regulator-interacting protein 1-like
LOC107964420	uncharacterized LOC107964420
LOC107964421	probable G-protein coupled receptor Mth-like 5
LOC107964422	uncharacterized LOC107964422
LOC107964423	uncharacterized LOC107964423
LOC107964424	uncharacterized LOC107964424
LOC107964425	uncharacterized LOC107964425
LOC107964426	uncharacterized LOC107964426
LOC107964427	uncharacterized LOC107964427
LOC107964428	uncharacterized LOC107964428
LOC107964429	uncharacterized LOC107964429
LOC107964430	uncharacterized LOC107964430
LOC107964431	uncharacterized LOC107964431
LOC107964432	uncharacterized LOC107964432
LOC107964433	uncharacterized LOC107964433
LOC107964434	uncharacterized LOC107964434
LOC107964435	uncharacterized LOC107964435
LOC107964436	uncharacterized LOC107964436
LOC107964437	THAP domain-containing protein 4-like
LOC107964438	uncharacterized LOC107964438
LOC107964439	uncharacterized LOC107964439
LOC107964440	uncharacterized LOC107964440
LOC107964441	uncharacterized LOC107964441
LOC107964442	uncharacterized LOC107964442
LOC107964443	uncharacterized LOC107964443
LOC107964444	uncharacterized LOC107964444
LOC107964445	uncharacterized LOC107964445
LOC107964446	uncharacterized LOC107964446
LOC107964447	uncharacterized LOC107964447
LOC107964448	uncharacterized LOC107964448
LOC107964449	uncharacterized LOC107964449
LOC107964450	uncharacterized LOC107964450
LOC107964451	uncharacterized LOC107964451
LOC107964452	uncharacterized LOC107964452
LOC107964453	uncharacterized LOC107964453
LOC107964454	uncharacterized LOC107964454
LOC107964455	uncharacterized LOC107964455
LOC107964456	uncharacterized LOC107964456
LOC107964457	uncharacterized LOC107964457
LOC107964458	uncharacterized LOC107964458
LOC107964459	uncharacterized LOC107964459
LOC107964460	uncharacterized LOC107964460
LOC107964461	uncharacterized LOC107964461
LOC107964462	uncharacterized LOC107964462
LOC107964463	uncharacterized LOC107964463
LOC107964464	uncharacterized LOC107964464
LOC107964465	uncharacterized LOC107964465
LOC107964466	uncharacterized LOC107964466
LOC107964467	uncharacterized LOC107964467
LOC107964468	uncharacterized LOC107964468
LOC107964469	uncharacterized LOC107964469
LOC107964470	uncharacterized LOC107964470
LOC107964471	uncharacterized LOC107964471
LOC107964472	uncharacterized LOC107964472
LOC107964473	uncharacterized LOC107964473
LOC107964474	uncharacterized LOC107964474
LOC107964475	uncharacterized LOC107964475
LOC107964476	uncharacterized LOC107964476
LOC107964477	uncharacterized LOC107964477
LOC107964478	uncharacterized LOC107964478
LOC107964479	uncharacterized LOC107964479
LOC107964480	uncharacterized LOC107964480
LOC107964481	uncharacterized LOC107964481
LOC107964482	uncharacterized LOC107964482
LOC107964483	uncharacterized LOC107964483
LOC107964484	uncharacterized LOC107964484
LOC107964485	uncharacterized LOC107964485
LOC107964486	uncharacterized LOC107964486
LOC107964487	uncharacterized LOC107964487
LOC107964488	uncharacterized LOC107964488
LOC107964489	uncharacterized LOC107964489
LOC107964490	uncharacterized LOC107964490
LOC107964491	uncharacterized LOC107964491
LOC107964492	uncharacterized LOC107964492
LOC107964493	uncharacterized LOC107964493
LOC107964494	uncharacterized LOC107964494
LOC107964495	uncharacterized LOC107964495
LOC107964496	uncharacterized LOC107964496
LOC107964497	uncharacterized LOC107964497
LOC107964498	uncharacterized LOC107964498
LOC107964499	uncharacterized LOC107964499
LOC107964500	uncharacterized LOC107964500
LOC107964501	integrin alpha-9-like
LOC107964502	uncharacterized LOC107964502
LOC107964503	uncharacterized LOC107964503
LOC107964504	uncharacterized LOC107964504
LOC107964505	uncharacterized LOC107964505
LOC107964506	uncharacterized LOC107964506
LOC107964507	acyl-coenzyme A thioesterase 13
LOC107964508	uncharacterized LOC107964508
LOC107964509	uncharacterized LOC107964509
LOC107964510	uncharacterized LOC107964510
LOC107964511	uncharacterized LOC107964511
LOC107964512	uncharacterized LOC107964512
LOC107964513	uncharacterized LOC107964513
LOC107964514	uncharacterized LOC107964514
LOC107964515	"dynein light chain 4, axonemal-like"
LOC107964516	uncharacterized LOC107964516
LOC107964517	uncharacterized LOC107964517
LOC107964518	uncharacterized LOC107964518
LOC107964519	uncharacterized LOC107964519
LOC107964520	uncharacterized LOC107964520
LOC107964525	uncharacterized LOC107964525
LOC107964526	uncharacterized LOC107964526
LOC107964527	uncharacterized LOC107964527
LOC107964528	uncharacterized LOC107964528
LOC107964529	uncharacterized LOC107964529
LOC107964530	"dynein heavy chain 7, axonemal-like"
LOC107964531	uncharacterized LOC107964531
LOC107964532	uncharacterized LOC107964532
LOC107964533	uncharacterized LOC107964533
LOC107964534	uncharacterized LOC107964534
LOC107964535	uncharacterized LOC107964535
LOC107964536	uncharacterized LOC107964536
LOC107964537	uncharacterized LOC107964537
LOC107964538	uncharacterized LOC107964538
LOC107964539	uncharacterized LOC107964539
LOC107964540	uncharacterized LOC107964540
LOC107964541	uncharacterized LOC107964541
LOC107964542	uncharacterized LOC107964542
LOC107964543	uncharacterized LOC107964543
LOC107964544	uncharacterized LOC107964544
LOC107964545	uncharacterized LOC107964545
LOC107964546	uncharacterized LOC107964546
LOC107964547	uncharacterized LOC107964547
LOC107964548	uncharacterized LOC107964548
LOC107964549	uncharacterized LOC107964549
LOC107964550	uncharacterized LOC107964550
LOC107964551	uncharacterized LOC107964551
LOC107964552	uncharacterized LOC107964552
LOC107964553	uncharacterized LOC107964553
LOC107964554	uncharacterized LOC107964554
LOC107964555	uncharacterized LOC107964555
LOC107964556	uncharacterized LOC107964556
LOC107964557	uncharacterized LOC107964557
LOC107964558	uncharacterized LOC107964558
LOC107964559	uncharacterized LOC107964559
LOC107964560	uncharacterized LOC107964560
LOC107964561	uncharacterized LOC107964561
LOC107964562	uncharacterized LOC107964562
LOC107964563	uncharacterized LOC107964563
LOC107964564	uncharacterized LOC107964564
LOC107964565	uncharacterized LOC107964565
LOC107964566	uncharacterized LOC107964566
LOC107964567	uncharacterized LOC107964567
LOC107964568	uncharacterized LOC107964568
LOC107964569	uncharacterized LOC107964569
LOC107964570	uncharacterized LOC107964570
LOC107964571	uncharacterized LOC107964571
LOC107964572	uncharacterized LOC107964572
LOC107964573	uncharacterized LOC107964573
LOC107964574	uncharacterized LOC107964574
LOC107964575	uncharacterized LOC107964575
LOC107964576	uncharacterized LOC107964576
LOC107964577	uncharacterized LOC107964577
LOC107964578	uncharacterized LOC107964578
LOC107964579	"dynein heavy chain 7, axonemal-like"
LOC107964580	"dynein heavy chain 12, axonemal-like"
LOC107964581	uncharacterized LOC107964581
LOC107964582	uncharacterized LOC107964582
LOC107964583	uncharacterized LOC107964583
LOC107964584	uncharacterized LOC107964584
LOC107964585	uncharacterized LOC107964585
LOC107964586	uncharacterized LOC107964586
LOC107964587	uncharacterized LOC107964587
LOC107964588	uncharacterized LOC107964588
LOC107964589	microtubule-associated protein futsch-like
LOC107964590	uncharacterized LOC107964590
LOC107964591	uncharacterized LOC107964591
LOC107964592	uncharacterized LOC107964592
LOC107964593	uncharacterized LOC107964593
LOC107964594	uncharacterized LOC107964594
LOC107964595	uncharacterized LOC107964595
LOC107964596	uncharacterized LOC107964596
LOC107964597	uncharacterized LOC107964597
LOC107964598	uncharacterized LOC107964598
LOC107964599	uncharacterized LOC107964599
LOC107964600	WASH complex subunit FAM21 homolog
LOC107964601	uncharacterized LOC107964601
LOC107964602	uncharacterized LOC107964602
LOC107964603	uncharacterized LOC107964603
LOC107964604	uncharacterized LOC107964604
LOC107964605	uncharacterized LOC107964605
LOC107964606	uncharacterized LOC107964606
LOC107964607	uncharacterized LOC107964607
LOC107964608	uncharacterized LOC107964608
LOC107964609	uncharacterized LOC107964609
LOC107964610	uncharacterized LOC107964610
LOC107964611	uncharacterized LOC107964611
LOC107964612	uncharacterized LOC107964612
LOC107964613	uncharacterized LOC107964613
LOC107964614	uncharacterized LOC107964614
LOC107964615	uncharacterized LOC107964615
LOC107964616	uncharacterized LOC107964616
LOC107964617	ARS-binding factor 1-like
LOC107964618	uncharacterized LOC107964618
LOC107964619	uncharacterized LOC107964619
LOC107964620	uncharacterized LOC107964620
LOC107964621	uncharacterized LOC107964621
LOC107964622	uncharacterized LOC107964622
LOC107964623	uncharacterized LOC107964623
LOC107964624	uncharacterized LOC107964624
LOC107964625	uncharacterized LOC107964625
LOC107964626	uncharacterized LOC107964626
LOC107964627	uncharacterized LOC107964627
LOC107964628	uncharacterized LOC107964628
LOC107964629	uncharacterized LOC107964629
LOC107964630	uncharacterized LOC107964630
LOC107964631	uncharacterized LOC107964631
LOC107964632	uncharacterized LOC107964632
LOC107964633	uncharacterized LOC107964633
LOC107964634	uncharacterized LOC107964634
LOC107964635	uncharacterized LOC107964635
LOC107964637	uncharacterized LOC107964637
LOC107964638	uncharacterized LOC107964638
LOC107964639	uncharacterized LOC107964639
LOC107964640	uncharacterized LOC107964640
LOC107964641	uncharacterized LOC107964641
LOC107964642	uncharacterized LOC107964642
LOC107964643	uncharacterized LOC107964643
LOC107964644	uncharacterized LOC107964644
LOC107964645	uncharacterized LOC107964645
LOC107964646	uncharacterized LOC107964646
LOC107964647	uncharacterized LOC107964647
LOC107964648	S-formylglutathione hydrolase
LOC107964649	uncharacterized LOC107964649
LOC107964650	uncharacterized LOC107964650
LOC107964651	uncharacterized LOC107964651
LOC107964652	uncharacterized LOC107964652
LOC107964653	coiled-coil domain-containing protein 134-like
LOC107964654	uncharacterized LOC107964654
LOC107964655	uncharacterized LOC107964655
LOC107964656	uncharacterized LOC107964656
LOC107964657	uncharacterized LOC107964657
LOC107964658	uncharacterized LOC107964658
LOC107964659	uncharacterized LOC107964659
LOC107964660	uncharacterized LOC107964660
LOC107964661	uncharacterized LOC107964661
LOC107964662	uncharacterized LOC107964662
LOC107964663	uncharacterized LOC107964663
LOC107964664	uncharacterized LOC107964664
LOC107964665	uncharacterized LOC107964665
LOC107964666	uncharacterized LOC107964666
LOC107964667	uncharacterized LOC107964667
LOC107964668	uncharacterized LOC107964668
LOC107964669	uncharacterized LOC107964669
LOC107964670	uncharacterized LOC107964670
LOC107964671	uncharacterized LOC107964671
LOC107964672	uncharacterized LOC107964672
LOC107964673	uncharacterized LOC107964673
LOC107964674	uncharacterized LOC107964674
LOC107964675	uncharacterized LOC107964675
LOC107964676	uncharacterized LOC107964676
LOC107964677	uncharacterized LOC107964677
LOC107964678	uncharacterized LOC107964678
LOC107964679	uncharacterized LOC107964679
LOC107964680	uncharacterized LOC107964680
LOC107964681	uncharacterized LOC107964681
LOC107964682	uncharacterized LOC107964682
LOC107964683	uncharacterized LOC107964683
LOC107964684	uncharacterized LOC107964684
LOC107964685	uncharacterized LOC107964685
LOC107964686	uncharacterized LOC107964686
LOC107964687	uncharacterized LOC107964687
LOC107964688	uncharacterized LOC107964688
LOC107964689	uncharacterized LOC107964689
LOC107964690	uncharacterized LOC107964690
LOC107964691	uncharacterized LOC107964691
LOC107964702	uncharacterized LOC107964702
LOC107964703	uncharacterized LOC107964703
LOC107964704	uncharacterized LOC107964704
LOC107964705	uncharacterized LOC107964705
LOC107964706	uncharacterized LOC107964706
LOC107964707	uncharacterized LOC107964707
LOC107964708	uncharacterized LOC107964708
LOC107964709	uncharacterized LOC107964709
LOC107964710	uncharacterized LOC107964710
LOC107964711	uncharacterized LOC107964711
LOC107964712	uncharacterized LOC107964712
LOC107964713	uncharacterized LOC107964713
LOC107964714	histone-lysine N-methyltransferase SETMAR-like
LOC107964715	uncharacterized LOC107964715
LOC107964716	uncharacterized LOC107964716
LOC107964717	uncharacterized LOC107964717
LOC107964718	uncharacterized LOC107964718
LOC107964719	uncharacterized LOC107964719
LOC107964720	uncharacterized LOC107964720
LOC107964721	uncharacterized LOC107964721
LOC107964722	uncharacterized LOC107964722
LOC107964723	uncharacterized LOC107964723
LOC107964724	uncharacterized LOC107964724
LOC107964725	uncharacterized LOC107964725
LOC107964726	uncharacterized LOC107964726
LOC107964727	uncharacterized LOC107964727
LOC107964728	uncharacterized LOC107964728
LOC107964729	uncharacterized LOC107964729
LOC107964730	uncharacterized LOC107964730
LOC107964731	uncharacterized LOC107964731
LOC107964732	odorant receptor 4-like
LOC107964733	uncharacterized LOC107964733
LOC107964734	uncharacterized LOC107964734
LOC107964735	uncharacterized LOC107964735
LOC107964736	uncharacterized LOC107964736
LOC107964737	uncharacterized LOC107964737
LOC107964738	uncharacterized LOC107964738
LOC107964739	uncharacterized LOC107964739
LOC107964740	uncharacterized LOC107964740
LOC107964741	uncharacterized LOC107964741
LOC107964742	uncharacterized LOC107964742
LOC107964743	uncharacterized LOC107964743
LOC107964744	uncharacterized LOC107964744
LOC107964745	uncharacterized LOC107964745
LOC107964746	uncharacterized LOC107964746
LOC107964747	uncharacterized LOC107964747
LOC107964748	uncharacterized LOC107964748
LOC107964749	uncharacterized LOC107964749
LOC107964750	uncharacterized LOC107964750
